Permanent_	Epi_Radon_Bq_m3	Hypo_Radon_Bq_m3
123397569	4.375	0
69886156	33.45	32.725
123397532	9.1	5.96666666666667
69886284	6.44	7.975
123397745	12.4333333333333	22.85
123397860	43.8	195
123397560	13.96	0
123397928	10.64	0
123397975	6.16666666666667	0
123397672	10.68	0
123397594	8.302	0
69884504	13.475	13.275
123398210	4.575	21.36
123397262	10.02	20.45
77357830	33.9666666666667	8.15
JAZ_19	0	0
69884134	20.25	24.1
123397776	44.05	17.7
123397403	0	17.95
123397340	12.0333333333333	337.666666666667
70334959	26.4	40.04
123397672	10.3	5.006
123397208	10.2181818181818	NA
123148198	16.2666666666667	NA
70330419	16.4833333333333	NA
69886444	11.7	NA
111861529	1464.28571428571	NA
70331977	45.7875	NA
69883782	86.7166666666667	NA
123147972	4.15	NA
123396785	0	NA
123397639	3.35714285714286	NA
123397276	4.01666666666667	NA
69884094	21.3166666666667	NA
123398250	10.28	NA
70331029	0	NA
69884212	18.4428571428571	NA
111861635	26.8571428571429	NA
69886158	6.825	NA
69886472	11.82	NA
